Date,SharePrice,Dividend,FwdDiv,FwdDivYield
1995-01-03,0.34,0.0,0.004284,0.012599999999999998
1995-01-04,0.35,0.0,0.004284,0.01224
1995-01-05,0.35,0.0,0.004284,0.01224
1995-01-06,0.38,0.0,0.004284,0.011273684210526314
1995-01-09,0.37,0.0,0.004284,0.011578378378378378
1995-01-10,0.39,0.0,0.004284,0.010984615384615383
1995-01-11,0.42,0.0,0.004284,0.010199999999999999
1995-01-12,0.41,0.0,0.004284,0.010448780487804878
1995-01-13,0.4,0.0,0.004284,0.010709999999999999
1995-01-16,0.4,0.0,0.004284,0.010709999999999999
1995-01-17,0.4,0.0,0.004284,0.010709999999999999
1995-01-18,0.41,0.0,0.004284,0.010448780487804878
1995-01-19,0.41,0.0,0.004284,0.010448780487804878
1995-01-20,0.38,0.0,0.004284,0.011273684210526314
1995-01-23,0.38,0.0,0.004284,0.011273684210526314
1995-01-24,0.37,0.0,0.004284,0.011578378378378378
1995-01-25,0.37,0.0,0.004284,0.011578378378378378
1995-01-26,0.35,0.0,0.004284,0.01224
1995-01-27,0.36,0.0,0.004284,0.011899999999999999
1995-01-30,0.36,0.0,0.004284,0.011899999999999999
1995-01-31,0.36,0.0,0.004284,0.011899999999999999
1995-02-01,0.36,0.0,0.004284,0.011899999999999999
1995-02-02,0.37,0.0,0.004284,0.011578378378378378
1995-02-03,0.36,0.0,0.004284,0.011899999999999999
1995-02-06,0.36,0.0,0.004284,0.011899999999999999
1995-02-07,0.36,0.0,0.004284,0.011899999999999999
1995-02-08,0.38,0.0,0.004284,0.011273684210526314
1995-02-09,0.39,0.0,0.004284,0.010984615384615383
1995-02-10,0.39,0.0,0.004284,0.010984615384615383
1995-02-13,0.39,0.001071,0.004284,0.010984615384615383
1995-02-14,0.38,0.0,0.004284,0.011273684210526314
1995-02-15,0.38,0.0,0.004284,0.011273684210526314
1995-02-16,0.39,0.0,0.004284,0.010984615384615383
1995-02-17,0.38,0.0,0.004284,0.011273684210526314
1995-02-21,0.37,0.0,0.004284,0.011578378378378378
1995-02-22,0.36,0.0,0.004284,0.011899999999999999
1995-02-23,0.36,0.0,0.004284,0.011899999999999999
1995-02-24,0.35,0.0,0.004284,0.01224
1995-02-27,0.34,0.0,0.004284,0.012599999999999998
1995-02-28,0.35,0.0,0.004284,0.01224
1995-03-01,0.36,0.0,0.004284,0.011899999999999999
1995-03-02,0.36,0.0,0.004284,0.011899999999999999
1995-03-03,0.36,0.0,0.004284,0.011899999999999999
1995-03-06,0.35,0.0,0.004284,0.01224
1995-03-07,0.34,0.0,0.004284,0.012599999999999998
1995-03-08,0.35,0.0,0.004284,0.01224
1995-03-09,0.35,0.0,0.004284,0.01224
1995-03-10,0.35,0.0,0.004284,0.01224
1995-03-13,0.34,0.0,0.004284,0.012599999999999998
1995-03-14,0.31,0.0,0.004284,0.013819354838709677
1995-03-15,0.31,0.0,0.004284,0.013819354838709677
1995-03-16,0.31,0.0,0.004284,0.013819354838709677
1995-03-17,0.31,0.0,0.004284,0.013819354838709677
1995-03-20,0.31,0.0,0.004284,0.013819354838709677
1995-03-21,0.32,0.0,0.004284,0.013387499999999998
1995-03-22,0.34,0.0,0.004284,0.012599999999999998
1995-03-23,0.33,0.0,0.004284,0.01298181818181818
1995-03-24,0.34,0.0,0.004284,0.012599999999999998
1995-03-27,0.33,0.0,0.004284,0.01298181818181818
1995-03-28,0.31,0.0,0.004284,0.013819354838709677
1995-03-29,0.31,0.0,0.004284,0.013819354838709677
1995-03-30,0.32,0.0,0.004284,0.013387499999999998
1995-03-31,0.31,0.0,0.004284,0.013819354838709677
1995-04-03,0.32,0.0,0.004284,0.013387499999999998
1995-04-04,0.3,0.0,0.004284,0.01428
1995-04-05,0.31,0.0,0.004284,0.013819354838709677
1995-04-06,0.33,0.0,0.004284,0.01298181818181818
1995-04-07,0.33,0.0,0.004284,0.01298181818181818
1995-04-10,0.33,0.0,0.004284,0.01298181818181818
1995-04-11,0.34,0.0,0.004284,0.012599999999999998
1995-04-12,0.35,0.0,0.004284,0.01224
1995-04-13,0.34,0.0,0.004284,0.012599999999999998
1995-04-17,0.34,0.0,0.004284,0.012599999999999998
1995-04-18,0.33,0.0,0.004284,0.01298181818181818
1995-04-19,0.32,0.0,0.004284,0.013387499999999998
1995-04-20,0.34,0.0,0.004284,0.012599999999999998
1995-04-21,0.35,0.0,0.004284,0.01224
1995-04-24,0.35,0.0,0.004284,0.01224
1995-04-25,0.34,0.0,0.004284,0.012599999999999998
1995-04-26,0.34,0.0,0.004284,0.012599999999999998
1995-04-27,0.34,0.0,0.004284,0.012599999999999998
1995-04-28,0.34,0.0,0.004284,0.012599999999999998
1995-05-01,0.34,0.0,0.004284,0.012599999999999998
1995-05-02,0.34,0.0,0.004284,0.012599999999999998
1995-05-03,0.34,0.0,0.004284,0.012599999999999998
1995-05-04,0.34,0.0,0.004284,0.012599999999999998
1995-05-05,0.35,0.0,0.004284,0.01224
1995-05-08,0.36,0.0,0.004284,0.011899999999999999
1995-05-09,0.37,0.0,0.004284,0.011578378378378378
1995-05-10,0.37,0.0,0.004284,0.011578378378378378
1995-05-11,0.37,0.0,0.004284,0.011578378378378378
1995-05-12,0.39,0.0,0.004284,0.010984615384615383
1995-05-15,0.39,0.0,0.004284,0.010984615384615383
1995-05-16,0.39,0.0,0.004284,0.010984615384615383
1995-05-17,0.39,0.0,0.004284,0.010984615384615383
1995-05-18,0.39,0.0,0.004284,0.010984615384615383
1995-05-19,0.38,0.0,0.004284,0.011273684210526314
1995-05-22,0.39,0.0,0.004284,0.010984615384615383
1995-05-23,0.39,0.0,0.004284,0.010984615384615383
1995-05-24,0.39,0.0,0.004284,0.010984615384615383
1995-05-25,0.39,0.0,0.004284,0.010984615384615383
1995-05-26,0.38,0.001071,0.004284,0.011273684210526314
1995-05-30,0.38,0.0,0.004284,0.011273684210526314
1995-05-31,0.37,0.0,0.004284,0.011578378378378378
1995-06-01,0.38,0.0,0.004284,0.011273684210526314
1995-06-02,0.38,0.0,0.004284,0.011273684210526314
1995-06-05,0.39,0.0,0.004284,0.010984615384615383
1995-06-06,0.39,0.0,0.004284,0.010984615384615383
1995-06-07,0.39,0.0,0.004284,0.010984615384615383
1995-06-08,0.38,0.0,0.004284,0.011273684210526314
1995-06-09,0.39,0.0,0.004284,0.010984615384615383
1995-06-12,0.39,0.0,0.004284,0.010984615384615383
1995-06-13,0.39,0.0,0.004284,0.010984615384615383
1995-06-14,0.39,0.0,0.004284,0.010984615384615383
1995-06-15,0.39,0.0,0.004284,0.010984615384615383
1995-06-16,0.39,0.0,0.004284,0.010984615384615383
1995-06-19,0.4,0.0,0.004284,0.010709999999999999
1995-06-20,0.42,0.0,0.004284,0.010199999999999999
1995-06-21,0.44,0.0,0.004284,0.009736363636363635
1995-06-22,0.44,0.0,0.004284,0.009736363636363635
1995-06-23,0.44,0.0,0.004284,0.009736363636363635
1995-06-26,0.43,0.0,0.004284,0.009962790697674417
1995-06-27,0.41,0.0,0.004284,0.010448780487804878
1995-06-28,0.42,0.0,0.004284,0.010199999999999999
1995-06-29,0.42,0.0,0.004284,0.010199999999999999
1995-06-30,0.41,0.0,0.004284,0.010448780487804878
1995-07-03,0.42,0.0,0.004284,0.010199999999999999
1995-07-05,0.42,0.0,0.004284,0.010199999999999999
1995-07-06,0.42,0.0,0.004284,0.010199999999999999
1995-07-07,0.43,0.0,0.004284,0.009962790697674417
